date,rain_sum,temperature_2m_mean
2021-04-17 18:00:00+00:00,0.3,28.624498
2021-04-18 18:00:00+00:00,0.0,30.047417
2021-04-19 18:00:00+00:00,0.0,31.014082
2021-04-20 18:00:00+00:00,0.0,30.62242
2021-04-21 18:00:00+00:00,6.4,28.311998
2021-04-22 18:00:00+00:00,0.0,28.1745
2021-04-23 18:00:00+00:00,0.0,29.87242
2021-04-24 18:00:00+00:00,0.0,31.11825
2021-04-25 18:00:00+00:00,0.0,31.912
2021-04-26 18:00:00+00:00,0.0,31.637003
2021-04-27 18:00:00+00:00,0.1,31.853666
2021-04-28 18:00:00+00:00,0.0,31.691164
2021-04-29 18:00:00+00:00,0.0,31.13491
2021-04-30 18:00:00+00:00,0.0,30.597418
2021-05-01 18:00:00+00:00,1.4000001,29.916166
2021-05-02 18:00:00+00:00,16.8,27.864082
2021-05-03 18:00:00+00:00,3.1999998,26.745333
2021-05-04 18:00:00+00:00,3.8999999,27.084917
2021-05-05 18:00:00+00:00,6.2999997,27.086998
2021-05-06 18:00:00+00:00,2.6000001,27.759912
2021-05-07 18:00:00+00:00,9.0,27.31825
2021-05-08 18:00:00+00:00,2.8,27.69325
2021-05-09 18:00:00+00:00,9.700002,27.71617
2021-05-10 18:00:00+00:00,13.300001,26.701582
2021-05-11 18:00:00+00:00,27.200003,26.755747
2021-05-12 18:00:00+00:00,23.500002,26.737001
2021-05-13 18:00:00+00:00,9.5,27.055746
2021-05-14 18:00:00+00:00,0.9,29.409914
2021-05-15 18:00:00+00:00,1.1,29.762
2021-05-16 18:00:00+00:00,0.4,31.12033
2021-05-17 18:00:00+00:00,12.0,30.037
2021-05-18 18:00:00+00:00,14.200001,28.568247
2021-05-19 18:00:00+00:00,0.0,30.593252
2021-05-20 18:00:00+00:00,0.6,30.207832
2021-05-21 18:00:00+00:00,0.0,31.101583
2021-05-22 18:00:00+00:00,0.3,31.33075
2021-05-23 18:00:00+00:00,6.4999995,30.745337
2021-05-24 18:00:00+00:00,21.300003,29.072416
2021-05-25 18:00:00+00:00,3.8,27.8995
2021-05-26 18:00:00+00:00,2.6999998,28.491167
2021-05-27 18:00:00+00:00,3.0,29.13283
2021-05-28 18:00:00+00:00,1.6,29.60367
2021-05-29 18:00:00+00:00,3.5,29.63075
2021-05-30 18:00:00+00:00,21.100002,28.299501
